"POLITICAL_UNIT","NAME","WGMS_ID","PSFG_ID","WGI_ID","GLIMS_ID","RGI_ID","REMARKS"
"AF","UNNAMED 17916",17916,,,"G072043E36615N","RGI50-14.23757","Information derived from RGI5.0."
"AF","UNNAMED 17918",17918,,,"G071879E36593N","RGI50-14.23809","Information derived from RGI5.0."
"AF","UNNAMED 17924",17924,,,"G071696E36529N","RGI50-14.23974","Information derived from RGI5.0."
"AF","UNNAMED 17925",17925,,,"G071500E36442N","RGI50-14.23992","Information derived from RGI5.0."
"AF","UNNAMED 17936",17936,,,"G070414E36312N","RGI50-14.24384","Information derived from RGI5.0."
"AF","UNNAMED 17937",17937,,,"G070724E35782N","RGI50-14.24457","Information derived from RGI5.0."
"AF","UNNAMED 17938",17938,,,"G070786E35914N","RGI50-14.24474","Information derived from RGI5.0."
"AF","UNNAMED 17939",17939,,,"G070701E35817N","RGI50-14.24496","Information derived from RGI5.0."
"AF","UNNAMED 17940",17940,,,"G070645E35752N","RGI50-14.24500","Information derived from RGI5.0."
"AF","UNNAMED 17941",17941,,,"G070510E35734N","RGI50-14.24515","Information derived from RGI5.0."
"AF","UNNAMED 17942",17942,,,"G070514E35745N","RGI50-14.24516","Information derived from RGI5.0."
"AF","UNNAMED 17943",17943,,,"G070532E35771N","RGI50-14.24518","Information derived from RGI5.0."
"AF","UNNAMED 17944",17944,,,"G070519E35783N","RGI50-14.24520","Information derived from RGI5.0."
"AF","UNNAMED 17945",17945,,,"G070507E35838N","RGI50-14.24527","Information derived from RGI5.0."
"AF","UNNAMED 17946",17946,,,"G070489E35735N","RGI50-14.24535","Information derived from RGI5.0."
"AF","UNNAMED 17947",17947,,,"G070919E36312N","RGI50-14.24779","Information derived from RGI5.0."
"AF","UNNAMED 17948",17948,,,"G070965E36276N","RGI50-14.24787","Information derived from RGI5.0."
"AF","UNNAMED 17949",17949,,,"G070962E36220N","RGI50-14.24800","Information derived from RGI5.0."
"AF","UNNAMED 17950",17950,,,"G071002E36230N","RGI50-14.24804","Information derived from RGI5.0."
"AF","UNNAMED 17951",17951,,,"G070997E36250N","RGI50-14.24807","Information derived from RGI5.0."
"AF","UNNAMED 17952",17952,,,"G071017E36187N","RGI50-14.24826","Information derived from RGI5.0."
"AF","UNNAMED 17953",17953,,,"G071002E36152N","RGI50-14.24839","Information derived from RGI5.0."
"AF","UNNAMED 17954",17954,,,"G070565E36371N","RGI50-14.24882","Information derived from RGI5.0."
"AF","UNNAMED 17955",17955,,,"G070550E36378N","RGI50-14.24883","Information derived from RGI5.0."
"AF","UNNAMED 17956",17956,,,"G070527E36382N","RGI50-14.24885","Information derived from RGI5.0."
"AF","UNNAMED 17957",17957,,,"G070487E36284N","RGI50-14.24900","Information derived from RGI5.0."
"AF","UNNAMED 17958",17958,,,"G070452E36260N","RGI50-14.24901","Information derived from RGI5.0."
"AF","UNNAMED 17959",17959,,,"G070481E36247N","RGI50-14.24902","Information derived from RGI5.0."
"AF","UNNAMED 17960",17960,,,"G070488E36211N","RGI50-14.24903","Information derived from RGI5.0."
"AF","UNNAMED 17961",17961,,,"G070472E36199N","RGI50-14.24905","Information derived from RGI5.0."
"AF","UNNAMED 17962",17962,,,"G070455E36217N","RGI50-14.24913","Information derived from RGI5.0."
"AF","UNNAMED 17963",17963,,,"G070397E36209N","RGI50-14.24917","Information derived from RGI5.0."
"AF","UNNAMED 17964",17964,,,"G070364E36235N","RGI50-14.24925","Information derived from RGI5.0."
"AF","UNNAMED 17965",17965,,,"G070481E36307N","RGI50-14.24942","Information derived from RGI5.0."
"AF","UNNAMED 17966",17966,,,"G070443E36321N","RGI50-14.24945","Information derived from RGI5.0."
"AF","UNNAMED 17967",17967,,,"G070460E36316N","RGI50-14.24965","Information derived from RGI5.0."
"AF","UNNAMED 17968",17968,,,"G070551E36137N","RGI50-14.25009","Information derived from RGI5.0."
"AF","UNNAMED 17969",17969,,,"G070515E36125N","RGI50-14.25012","Information derived from RGI5.0."
"AF","UNNAMED 17970",17970,,,"G070497E36091N","RGI50-14.25021","Information derived from RGI5.0."
"AF","UNNAMED 17971",17971,,,"G070434E36051N","RGI50-14.25035","Information derived from RGI5.0."
"AF","UNNAMED 17972",17972,,,"G070464E36096N","RGI50-14.25048","Information derived from RGI5.0."
"AF","UNNAMED 17973",17973,,,"G070986E35886N","RGI50-14.25228","Information derived from RGI5.0."
"AF","UNNAMED 17974",17974,,,"G070944E35802N","RGI50-14.25238","Information derived from RGI5.0."
"AF","UNNAMED 17975",17975,,,"G070973E35783N","RGI50-14.25250","Information derived from RGI5.0."
"AF","UNNAMED 17976",17976,,,"G070794E35539N","RGI50-14.25326","Information derived from RGI5.0."
"AF","UNNAMED 17977",17977,,,"G070466E36272N","RGI50-14.25397","Information derived from RGI5.0."
"AF","UNNAMED 17978",17978,,,"G070897E36321N","RGI50-14.25399","Information derived from RGI5.0."
"AF","UNNAMED 21093",21093,,,,"RGI60-13.16183",
"AF","UNNAMED 21094",21094,,,,"RGI60-13.16307",
"AF","UNNAMED 21095",21095,,,,"RGI60-13.16311",
"AF","UNNAMED 21096",21096,,,,"RGI60-13.16313",
"AF","UNNAMED 21097",21097,,,,"RGI60-13.16323",
"AF","UNNAMED 21098",21098,,,,"RGI60-13.16339",
"AF","UNNAMED 21099",21099,,,,"RGI60-13.16340",
"AF","UNNAMED 21100",21100,,,,"RGI60-13.16341",
"AF","UNNAMED 21101",21101,,,,"RGI60-13.16361",
"AF","UNNAMED 21102",21102,,,,"RGI60-13.16365",
"AF","UNNAMED 21103",21103,,,,"RGI60-13.16368",
"AF","UNNAMED 21104",21104,,,,"RGI60-13.16381",
"AF","UNNAMED 21105",21105,,,,"RGI60-13.16384",
"AF","UNNAMED 21106",21106,,,,"RGI60-13.16426",
"AF","UNNAMED 21119",21119,,,,"RGI60-13.16711",
"AF","UNNAMED 21120",21120,,,,"RGI60-13.16726",
"AF","UNNAMED 21128",21128,,,,"RGI60-13.16888",
"AF","UNNAMED 21130",21130,,,,"RGI60-13.16992",
"AF","UNNAMED 21150",21150,,,,"RGI60-13.17516",
"AF","UNNAMED 21151",21151,,,,"RGI60-13.17517",
"AF","UNNAMED 21152",21152,,,,"RGI60-13.17547",
